Слово/фраза,Транскрипция,Перевод,Категория,Частотность,Широкая категория
Leber,[ˈleːbɐ],печень,Части тела,780,Здоровье и самочувствие
Rippe,[ˈʁɪpə],ребро,Части тела,780,Здоровье и самочувствие
zwanzig,[ˈt͡svan.t͡sɪç],двадцать,Числа,780,Покупки и магазины
Antwort,[ˈantvɔʁt],ответ,Школа (В классе),780,Учёба и работа
Team,[tiːm],команда,Бизнес / Работа,770,Учёба и работа
Stuhl,[ʃtuːl],стул,Ванная комната / Спальня / Гостиная,770,Дом и быт
schneiden,[ˈʃnaɪ̯dən],"стричь, резать",Внешность (Волосы),770,Семья и люди
finden,[ˈfɪndn̩],находить,Глаголы (Местоположение),770,Основные глаголы
sich kümmern,[zɪç ˈkʏmɐn],заботиться,Глаголы (Семья),770,Основные глаголы
öffnen,[ˈœfnən],открывать,Глаголы действия,770,Основные глаголы
Schwanzflosse,[ˈʃvantsˌflɔsə],хвостовой плавник,Животные (Морские),770,Хобби и повседневная жизнь
Grippe,[ˈɡʁɪ.pə],грипп,Здоровье (Болезни),770,Здоровье и самочувствие
Patientin,[paˈt͡si̯ɛntɪn],пациентка,Здоровье (Профессии),770,Здоровье и самочувствие
Pflaster,[ˈpflastɐ],пластырь,Здоровье (Травмы),770,Здоровье и самочувствие
zubereiten,[ˈtsuːbəˌʁaɪ̯tən],приготовлять,Кухня (Глаголы),770,Основные глаголы
ohne Zucker,[ˈoːnə ˈtsʊkɐ],без сахара,Напитки,770,Рестораны и кафе
unangenehm,[ˈʊnanɡəˌneːm],неприятный,Обоняние,770,Дом и быт
Sellerie,[ˈzɛlɛʁi],сельдерей,Овощи,770,Рестораны и кафе
fest,[fɛst],"плотный, крепкий",Осязание,770,Дом и быт
es ist kalt,[ɛs ɪst kalt],холодно,Погода,770,Путешествия и транспорт
Geschenk,[ɡəˈʃɛŋk],подарок,Поздравления / Праздники,770,Приветствия и знакомства
Kleidungsgeschäft,[ˈklaɪ̯dʊŋsɡəˌʃɛft],магазин одежды,Покупки (Места),770,Покупки и магазины
Arbeiter,[ˈaʁbaɪ̯tɐ],рабочий,Профессии,770,Учёба и работа
stolz,[ʃtɔlt͡s],гордый,Характер и эмоции,770,Семья и люди
hellgrün,[ˈhɛlɡʁyːn],светло-зелёный,Цвета,770,Дом и быт
Bart,[baʁt],борода,Части тела,770,Здоровье и самочувствие
Ferse,[ˈfɛʁzə],пятка,Части тела,770,Здоровье и самочувствие
Wirbelsäule,[ˈvɪʁbl̩ˌzɔɪ̯lə],позвоночник,Части тела,770,Здоровье и самочувствие
hundert,[ˈhʊndɐt],сто,Числа,770,Покупки и магазины
Kollegin,[koˈleːɡɪn],коллега (жен.),Бизнес / Работа,760,Учёба и работа
färben,[ˈfɛʁbən],красить (волосы),Внешность (Волосы),760,Семья и люди
schließen,[ˈʃliːsn̩],закрывать,Глаголы действия,760,Основные глаголы
Schale,[ˈʃaːlə],"панцирь, скорлупа",Животные (Морские),760,Хобби и повседневная жизнь
Apotheke,[apoˈteː.kə],аптека,Здоровье,760,Здоровье и самочувствие
Erkältung,[ɛɐ̯ˈkɛl.tʊŋ],простуда,Здоровье (Болезни),760,Здоровье и самочувствие
Gips,[ɡɪps],гипс,Здоровье (Травмы),760,Здоровье и самочувствие
abkühlen lassen,[ˈapˌkyː.lən ˈlasn̩],давать остыть,Кухня (Глаголы),760,Основные глаголы
roh,[ʁoː],сырой,Мясо,760,Рестораны и кафе
eiskalt,[ˈaɪsˌkalt],ледяной,Напитки,760,Рестораны и кафе
Artischocke,[aʁtiˈʃɔkə],артишок,Овощи,760,Рестораны и кафе
leicht,[laɪ̯çt],лёгкий (по весу),Осязание,760,Дом и быт
es ist warm,[ɛs ɪst vaʁm],тепло,Погода,760,Путешествия и транспорт
Einladung,[ˈaɪ̯nˌlaːdʊŋ],приглашение,Поздравления / Праздники,760,Приветствия и знакомства
